ID,Airline,PeakTime,Destination,Purpose,Transportation,Problem,Satisfaction,NetPromoter,NPS,Food,Store,Restroom,Safety,Cleanliness,Gender,Age,Income,FreqFlyer,MemberPremiumClear,Language
3053,PHILIPPINE AIRLINES,International,Asia,Visit friends,Drove,DIDN'T REALLY KNOW ABOUT TSA PRE CHECK. WE WERE IN A LONG LINE. GOOD THING A LADY APPROACH US.,5,10,Promoters,NA,5,5,4,5,Female,25-34,"less than $50,000",NA,No,English
3054,AMERICAN,Domestic Peak,U.S. East,Vacation,Drove,NA,5,10,Promoters,NA,NA,5,5,5,Female,18-24,"less than $50,000",NA,No,English
3055,PHILIPPINE AIRLINES,International,Asia,Vacation,Dropped off,NA,4,7,Passives,3,3,1,4,3,Female,25-34,"$50,000-$100,000",No,No,English
3056,AMERICAN,Domestic Peak,U.S. East,Business,Rental Car,NA,5,10,Promoters,4,5,5,5,4,Male,18-24,"$50,000-$100,000",No,No,English
3057,PHILIPPINE AIRLINES,International,Asia,Vacation,Dropped off,SLOW TSA,4,7,Passives,3,3,4,4,4,Male,55-64,"$150,000 or higher",Yes,No,English
3058,AMERICAN,Domestic Peak,U.S. East,Visit friends,Dropped off,NA,5,10,Promoters,4,4,4,5,5,Female,45-54,"less than $50,000",No,No,English
3059,PHILIPPINE AIRLINES,International,Asia,Vacation,Rental Car,NA,4,8,Passives,4,3,3,4,4,Female,18-24,NA,NA,No,English
3060,AMERICAN,Domestic Peak,U.S. East,Vacation,Dropped off,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English
3061,COPA,International,Central/South America,Vacation,Uber/Lyft,"LONG LINES, SLOW SECURITY",4,10,Promoters,4,NA,4,4,4,Female,18-24,"$50,000-$100,000",Yes,NA,English
3062,PHILIPPINE AIRLINES,International,Asia,Vacation,Dropped off,SECURITY CHECK TOO SLOW,4,8,Passives,3,3,5,4,5,Male,65 and over,"$50,000-$100,000",No,NA,English
3063,PHILIPPINE AIRLINES,International,Asia,Visit friends,Dropped off,NA,4,10,Promoters,5,4,5,5,5,Female,less than 18,NA,Yes,No,English
3064,COPA,International,Central/South America,Vacation,Van,NA,3,8,Passives,4,2,2,3,3,Female,25-34,"$50,000-$100,000",No,No,English
3065,UNITED,Domestic Peak,U.S. West,Vacation,Connect from another flight,NA,3,7,Passives,4,3,3,3,3,Male,NA,"$100,001-$150,000",No,No,English
3066,COPA,International,Central/South America,Visit friends,Dropped off,TSA WAS EXTREMELY INEFFICIENT.,2,0,Detractors,3,3,2,4,3,Female,18-24,"less than $50,000",No,No,English
3067,PHILIPPINE AIRLINES,International,Asia,NA,Uber/Lyft,NA,4,9,Promoters,4,4,3,4,4,Female,18-24,"less than $50,000",No,No,English
3068,UNITED,Domestic Peak,U.S. West,Vacation,Connect from another flight,NA,4,7,Passives,4,4,4,4,4,Male,35-44,"less than $50,000",No,No,English
